file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,"SetFieldType/1[java.util.HashMap<java.lang.String,java.lang.Integer>]",fieldtype,2
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,SetFieldType/1[boolean],select,2
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,SetFieldType/1[boolean],fieldtype,3
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,SetFieldType/1[boolean],_cur,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getMetaData/0,_schema,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getMetaData/0,select,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getMetaData/0,_table,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getMetaData/0,fieldtype,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,close/0,_closed,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,next/0,dblist,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,next/0,isGroupBy,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,next/0,_cursor,2
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,next/0,_row,8
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,next/0,isSum,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,next/0,_cur,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,getNumber/1[java.lang.String],_cur,1
C:\Users\Acer\Desktop\cloned\Mycat2\datasource\src\main\java\io\mycat\datasource\jdbc\mongodb\MongoResultSet.java,io.mycat.datasource.jdbc.mongodb.MongoResultSet,isClosed/0,_closed,1
